,sentences,words,meanings,labels
10,喜怒哀乐之未发，谓之中；发而皆中节，谓之和；【中】也者，天下之大本也；和也者，天下之达道也,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
11,喜怒哀乐之未发，谓之中；发而皆中节，谓之和；中也者，天下之大本也；【和】也者，天下之达道也,和,"1、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
2、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
3、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
4、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
5、<介>连带；连同
<例句：时挑野菜和根煮。>
6、<介>与；跟
<例句：和那害民的贼徒折证。>
7、<连>与；和
<例句：八千里路云和月。>
8、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
9、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
10、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
11、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
12、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
13、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
14、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
15、<介>连带；连同
<例句：时挑野菜和根煮。>
16、<介>与；跟
<例句：和那害民的贼徒折证。>
17、<连>与；和
<例句：八千里路云和月。>
18、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
19、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
20、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
21、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
22、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
23、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
24、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
25、<介>连带；连同
<例句：时挑野菜和根煮。>
26、<介>与；跟
<例句：和那害民的贼徒折证。>
27、<连>与；和
<例句：八千里路云和月。>
28、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
29、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
30、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
31、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
32、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
33、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
34、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
35、<介>连带；连同
<例句：时挑野菜和根煮。>
36、<介>与；跟
<例句：和那害民的贼徒折证。>
37、<连>与；和
<例句：八千里路云和月。>
38、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
39、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
40、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
41、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
42、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
43、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
44、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
45、<介>连带；连同
<例句：时挑野菜和根煮。>
46、<介>与；跟
<例句：和那害民的贼徒折证。>
47、<连>与；和
<例句：八千里路云和月。>
48、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
49、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
50、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
51、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
52、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
53、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
54、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
55、<介>连带；连同
<例句：时挑野菜和根煮。>
56、<介>与；跟
<例句：和那害民的贼徒折证。>
57、<连>与；和
<例句：八千里路云和月。>
58、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
59、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
60、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
61、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
62、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
63、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
64、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
65、<介>连带；连同
<例句：时挑野菜和根煮。>
66、<介>与；跟
<例句：和那害民的贼徒折证。>
67、<连>与；和
<例句：八千里路云和月。>
68、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
69、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
70、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
71、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
72、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
73、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
74、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
75、<介>连带；连同
<例句：时挑野菜和根煮。>
76、<介>与；跟
<例句：和那害民的贼徒折证。>
77、<连>与；和
<例句：八千里路云和月。>
78、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
79、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
80、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
",0
12,致【中】和，天地位焉，万物育焉,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
13,致中【和】，天地位焉，万物育焉,和,"1、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
2、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
3、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
4、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
5、<介>连带；连同
<例句：时挑野菜和根煮。>
6、<介>与；跟
<例句：和那害民的贼徒折证。>
7、<连>与；和
<例句：八千里路云和月。>
8、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
9、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
10、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
11、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
12、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
13、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
14、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
15、<介>连带；连同
<例句：时挑野菜和根煮。>
16、<介>与；跟
<例句：和那害民的贼徒折证。>
17、<连>与；和
<例句：八千里路云和月。>
18、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
19、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
20、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
21、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
22、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
23、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
24、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
25、<介>连带；连同
<例句：时挑野菜和根煮。>
26、<介>与；跟
<例句：和那害民的贼徒折证。>
27、<连>与；和
<例句：八千里路云和月。>
28、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
29、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
30、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
31、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
32、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
33、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
34、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
35、<介>连带；连同
<例句：时挑野菜和根煮。>
36、<介>与；跟
<例句：和那害民的贼徒折证。>
37、<连>与；和
<例句：八千里路云和月。>
38、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
39、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
40、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
41、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
42、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
43、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
44、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
45、<介>连带；连同
<例句：时挑野菜和根煮。>
46、<介>与；跟
<例句：和那害民的贼徒折证。>
47、<连>与；和
<例句：八千里路云和月。>
48、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
49、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
50、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
51、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
52、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
53、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
54、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
55、<介>连带；连同
<例句：时挑野菜和根煮。>
56、<介>与；跟
<例句：和那害民的贼徒折证。>
57、<连>与；和
<例句：八千里路云和月。>
58、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
59、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
60、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
61、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
62、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
63、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
64、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
65、<介>连带；连同
<例句：时挑野菜和根煮。>
66、<介>与；跟
<例句：和那害民的贼徒折证。>
67、<连>与；和
<例句：八千里路云和月。>
68、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
69、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
70、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
71、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
72、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
73、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
74、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
75、<介>连带；连同
<例句：时挑野菜和根煮。>
76、<介>与；跟
<例句：和那害民的贼徒折证。>
77、<连>与；和
<例句：八千里路云和月。>
78、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
79、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
80、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
",0
14,致中和，天地【位】焉，万物育焉,位,"1、<名>位置；方位
<例句：阴阳易位，时不当兮。>
2、<名>官位；爵位
<例句：位卑则足羞，官盛则近谀。>
3、<名>位次；座位
<例句：位在廉颇之右。>
4、<名>特指帝王或诸侯之位
<例句：遂赐衣带诏，有朕位几不保，命康与四卿及同志设法筹救之语。>
5、<量>称人的敬辞
<例句：端的亏管营、差拨两位用心。>
",3 0
15,致中和，天地位焉，【万】物育焉,万,"1、<数>十个一千
<例句：使齐军入魏地为十万灶，明日为五万灶，又明日为三万灶。>
2、<副>极；非常
<例句：无辞以白其大，且万无母子俱往理。>
3、<名>古代一种大型舞蹈的名字
<例句：九月，考仲子之宫，将万焉。>
4、<数>十个一千
<例句：使齐军入魏地为十万灶，明日为五万灶，又明日为三万灶。>
5、<副>极；非常
<例句：无辞以白其大，且万无母子俱往理。>
6、<名>古代一种大型舞蹈的名字
<例句：九月，考仲子之宫，将万焉。>
",0
16,仲尼曰：“君子【中】庸，小人反中庸，君子之中庸也，君子而时中；小人之中庸也，小人而无忌惮也,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
17,仲尼曰：“君子中【庸】，小人反中庸，君子之中庸也，君子而时中；小人之中庸也，小人而无忌惮也,庸,"1、<动>任用
<例句：王其无庸战。>
2、<动>受雇用
<例句：若为庸耕，何富贵也？>
3、<名>受雇用的人
<例句：泽居苦水者，买庸而决窦。>
4、<形>平庸
<例句：且庸人尚羞之，况于将相乎。>
5、<副>难道；岂
<例句：吾师道也，夫庸知其年之先后生于吾乎？>
",0
18,仲尼曰：“君子中庸，【小】人反中庸，君子之中庸也，君子而时中；小人之中庸也，小人而无忌惮也,小,"1、<形>小
<例句：小大之狱，虽不能察，必以情。>
2、<形>年纪幼小；排行在后的
<例句：洞庭龙君小女也。>
3、<形>地位低下的
<例句：愿为小相焉。>
4、<动>小看；轻视
<例句：心卑卿相，志小万乘。>
",0
19,仲尼曰：“君子中庸，小人反【中】庸，君子之中庸也，君子而时中；小人之中庸也，小人而无忌惮也,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
20,仲尼曰：“君子中庸，小人反中【庸】，君子之中庸也，君子而时中；小人之中庸也，小人而无忌惮也,庸,"1、<动>任用
<例句：王其无庸战。>
2、<动>受雇用
<例句：若为庸耕，何富贵也？>
3、<名>受雇用的人
<例句：泽居苦水者，买庸而决窦。>
4、<形>平庸
<例句：且庸人尚羞之，况于将相乎。>
5、<副>难道；岂
<例句：吾师道也，夫庸知其年之先后生于吾乎？>
",0
21,仲尼曰：“君子中庸，小人反中庸，君子之【中】庸也，君子而时中；小人之中庸也，小人而无忌惮也,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
22,仲尼曰：“君子中庸，小人反中庸，君子之中【庸】也，君子而时中；小人之中庸也，小人而无忌惮也,庸,"1、<动>任用
<例句：王其无庸战。>
2、<动>受雇用
<例句：若为庸耕，何富贵也？>
3、<名>受雇用的人
<例句：泽居苦水者，买庸而决窦。>
4、<形>平庸
<例句：且庸人尚羞之，况于将相乎。>
5、<副>难道；岂
<例句：吾师道也，夫庸知其年之先后生于吾乎？>
",0
23,仲尼曰：“君子中庸，小人反中庸，君子之中庸也，君子而时中；【小】人之中庸也，小人而无忌惮也,小,"1、<形>小
<例句：小大之狱，虽不能察，必以情。>
2、<形>年纪幼小；排行在后的
<例句：洞庭龙君小女也。>
3、<形>地位低下的
<例句：愿为小相焉。>
4、<动>小看；轻视
<例句：心卑卿相，志小万乘。>
",0
24,仲尼曰：“君子中庸，小人反中庸，君子之中庸也，君子而时中；小人之【中】庸也，小人而无忌惮也,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
25,仲尼曰：“君子中庸，小人反中庸，君子之中庸也，君子而时中；小人之中【庸】也，小人而无忌惮也,庸,"1、<动>任用
<例句：王其无庸战。>
2、<动>受雇用
<例句：若为庸耕，何富贵也？>
3、<名>受雇用的人
<例句：泽居苦水者，买庸而决窦。>
4、<形>平庸
<例句：且庸人尚羞之，况于将相乎。>
5、<副>难道；岂
<例句：吾师道也，夫庸知其年之先后生于吾乎？>
",0
26,仲尼曰：“君子中庸，小人反中庸，君子之中庸也，君子而时中；小人之中庸也，【小】人而无忌惮也,小,"1、<形>小
<例句：小大之狱，虽不能察，必以情。>
2、<形>年纪幼小；排行在后的
<例句：洞庭龙君小女也。>
3、<形>地位低下的
<例句：愿为小相焉。>
4、<动>小看；轻视
<例句：心卑卿相，志小万乘。>
",0
27,：“【中】庸,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
28,：“中【庸】,庸,"1、<动>任用
<例句：王其无庸战。>
2、<动>受雇用
<例句：若为庸耕，何富贵也？>
3、<名>受雇用的人
<例句：泽居苦水者，买庸而决窦。>
4、<形>平庸
<例句：且庸人尚羞之，况于将相乎。>
5、<副>难道；岂
<例句：吾师道也，夫庸知其年之先后生于吾乎？>
",0
29,！民【鲜】能久矣,鲜,"1、<名>生鱼；鲜鱼
<例句：烹小鲜而数挠之，则贼其泽。>
2、<形>新鲜；美味
<例句：钓于水，鲜可食。>
3、<形>鲜明；鲜艳
<例句：芳草鲜美，落英缤纷。>
<例句：菊之爱，陶后鲜有闻。>
4、<名>生鱼；鲜鱼
<例句：烹小鲜而数挠之，则贼其泽。>
5、<形>新鲜；美味
<例句：钓于水，鲜可食。>
6、<形>鲜明；鲜艳
<例句：芳草鲜美，落英缤纷。>
<例句：菊之爱，陶后鲜有闻。>
",0
30,子曰：“道之不行也，【我】知之矣：知者过之，愚者不及也,我,"1、<代>我；我们
2、<代>古代史家用来称本国或本朝
<例句：齐师伐我。>
",0
31,子曰：“道之不行也，我知之矣：知者过【之】，愚者不及也,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",1 0
